ds,actual,predicted,error
2021-06-01,850.0,319.07064772490196,530.929352275098
2021-07-01,943.0,869.1253724773973,73.87462752260274
2021-08-01,235.0,246.01752261797162,-11.017522617971622
2021-09-01,194.0,197.49703549658955,-3.4970354965895467
2021-10-01,531.0,-40.962729926618636,571.9627299266186
2021-11-01,210.0,159.88043894643295,50.119561053567054
2021-12-01,199.0,612.633143540965,-413.63314354096497
2022-01-01,467.0,846.5611187667182,-379.5611187667182
2022-02-01,678.0,242.80235939448403,435.19764060551597
2022-03-01,431.0,298.86167743883937,132.13832256116063
2022-04-01,428.0,88.97165325813319,339.0283467418668
2022-05-01,390.0,351.0958653710604,38.90413462893957
2022-06-01,372.0,417.8451677517288,-45.84516775172881
2022-07-01,528.0,397.8542720697135,130.1457279302865
2022-08-01,315.0,281.92827858164526,33.07172141835474
2022-09-01,263.0,175.46597164485536,87.53402835514464
2022-10-01,261.0,-401.32595680357906,662.3259568035791
2022-11-01,263.0,-11.989662526207894,274.9896625262079
2022-12-01,223.0,344.8754203269564,-121.87542032695637
2023-01-01,517.0,828.420120188166,-311.42012018816604
2023-02-01,311.0,-36.40695230491144,347.40695230491144
2023-03-01,236.0,18.724774123100815,217.27522587689919
2023-04-01,253.0,164.9367151559162,88.0632848440838
2023-05-01,339.0,301.13039029682966,37.86960970317034
2023-06-01,209.0,205.37699493202706,3.62300506797294
2023-07-01,187.0,53.642815226231164,133.35718477376884
2023-08-01,187.0,209.10534285186293,-22.10534285186293
2023-09-01,336.0,379.34558645702987,-43.34558645702987
2023-10-01,150.0,-168.39532476510328,318.3953247651033
2023-11-01,164.0,-58.54240605679129,222.5424060567913
2023-12-01,216.0,-153.4682146358315,369.4682146358315
2024-01-01,353.0,602.657642022667,-249.657642022667
2024-02-01,275.0,-12.059135962543223,287.0591359625432
2024-03-01,303.0,201.3903583344433,101.6096416655567
2024-04-01,175.0,299.18366893212635,-124.18366893212635
2024-05-01,272.0,188.8393348167217,83.1606651832783
2024-06-01,206.0,65.61792187620097,140.38207812379903
2024-07-01,114.0,140.38262705550517,-26.382627055505168
2024-08-01,142.0,127.95933698954735,14.040663010452647
2024-09-01,254.0,208.66248041827794,45.33751958172206
2024-10-01,12.0,-112.23490466592898,124.23490466592898
2024-11-01,227.0,19.74845909346226,207.25154090653774
2024-12-01,256.0,131.6993307340046,124.3006692659954
2025-01-01,143.0,352.5189343241145,-209.51893432411453
2025-02-01,151.0,-35.03816599730726,186.03816599730726
2025-03-01,228.0,351.7318625276141,-123.73186252761411
2025-04-01,177.0,224.65263447181314,-47.652634471813144
2025-05-01,139.0,24.219592528882572,114.78040747111743
2025-06-01,147.0,227.02824368523693,-80.02824368523693
2025-07-01,73.0,-55.89561570642695,128.89561570642695
2025-08-01,22.0,82.58402575917879,-60.584025759178786
2025-09-01,119.0,286.32694166790793,-167.32694166790793
2025-10-01,-138.0,-258.0846056783837,120.0846056783837
2025-11-01,64.0,215.6849433546863,-151.6849433546863
2025-12-01,50.0,166.06161843483542,-116.06161843483542
2026-01-01,130.0,407.9015114178337,-277.9015114178337
2026-02-01,-92.0,37.97858783965842,-129.97858783965842
2026-03-01,178.0,336.8432208437107,-158.8432208437107
2026-04-01,,148.18887622720047,
2026-05-01,,29.94184585235621,
