feature,source,missing_rate,pit_cutoff
SP500_max_drawdown,stress,0.0,trained_through
SP500_monthly_return,stress,0.0,trained_through
UMich_Expectations_chg_12m_lag_3m,unifier,0.0,trained_through
UMich_Expectations_chg_6m_lag_3m,unifier,0.0,trained_through
UMich_Expectations_rolling_std_6m,unifier,0.0,trained_through
UMich_Expectations_rolling_std_6m_lag_1m,unifier,0.0,trained_through
UMich_Expectations_rolling_std_6m_lag_6m,unifier,0.0,trained_through
Yield_Curve_accel_volatility_pct_chg_rolling_mean_3m_lag_1m,stress,0.0,trained_through
Yield_Curve_accel_volatility_pct_chg_rolling_std_6m,stress,0.0,trained_through
Yield_Curve_accel_volatility_pct_chg_rolling_std_6m_lag_1m,stress,0.0,trained_through
Yield_Curve_accel_volatility_pct_chg_rolling_std_6m_lag_6m,stress,0.0,trained_through
Yield_Curve_max_lag_1m,stress,0.0,trained_through
Yield_Curve_max_lag_3m,stress,0.0,trained_through
Yield_Curve_max_pct_chg_rolling_std_6m_lag_12m,stress,0.0,trained_through
Yield_Curve_max_pct_chg_rolling_std_6m_lag_3m,stress,0.0,trained_through
Yield_Curve_monthly_chg_pct_chg_rolling_std_6m,stress,0.0,trained_through
Yield_Curve_monthly_chg_pct_chg_rolling_std_6m_lag_1m,stress,0.0,trained_through
Yield_Curve_monthly_chg_pct_chg_rolling_std_6m_lag_6m,stress,0.0,trained_through
Yield_Curve_vol_of_changes_pct_chg_rolling_mean_3m_lag_1m,stress,0.0,trained_through
Yield_Curve_vol_of_changes_pct_chg_rolling_std_6m_lag_1m,stress,0.0,trained_through
Yield_Curve_vol_of_changes_pct_chg_rolling_std_6m_lag_6m,stress,0.0,trained_through
Yield_Curve_zscore_max,stress,0.0,trained_through
Yield_Curve_zscore_max_lag_1m,stress,0.0,trained_through
Yield_Curve_zscore_max_lag_3m,stress,0.0,trained_through
Yield_Curve_zscore_max_lag_6m,stress,0.0,trained_through
Yield_Curve_zscore_max_rolling_mean_3m,stress,0.0,trained_through
Yield_Curve_zscore_max_rolling_mean_3m_lag_1m,stress,0.0,trained_through
Yield_Curve_zscore_max_rolling_mean_3m_lag_3m,stress,0.0,trained_through
Yield_Curve_zscore_max_rolling_mean_3m_lag_6m,stress,0.0,trained_through
consensus_pred,snapshot,0.0,trained_through
prev_mom,target,0.0,trained_through
sa_accel_lag2,target,0.0,trained_through
sa_accel_lag3,target,0.0,trained_through
sa_accel_lag6,target,0.0,trained_through
sa_mom_lag1,target,0.0,trained_through
sa_mom_lag2,target,0.0,trained_through
sa_mom_mean_3m,target,0.0,trained_through
sa_mom_mean_6m,target,0.0,trained_through
sa_mom_vs_12m_trend,target,0.0,trained_through
